TOP|20110110000001|2011-01-10_0000_US_KABC_Eyewitness_News_4PM
COL|Communication Studies Archive, UCLA 
UID|1c0b2d72-1c59-11e0-9df6-001517add720
DUR|1:29:44.14
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-09 16:00 America/Los_Angeles
SEG_01|2014-06-18 18:42:52|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110110000014.000|20110110005256.000|SEG|Type=Story
20110110000014.000|20110110000016.000|CC1|>> CERTAINLY THIS IS THE        
20110110000016.000|20110110000018.000|CC1|KIND OF SENSELESS THINGS        
20110110000018.000|20110110000020.000|CC1|THAT LEAVES EVERYONE            
20110110000020.000|20110110000021.000|CC1|WONDERING WHY.                  
20110110000021.000|20110110000022.000|CC1|JOHN: WHY IS THE QUESTION ON    
20110110000022.000|20110110000025.000|CC1|MANY MINDS TODAY, THE GUNMAN    
20110110000025.000|20110110000027.000|CC1|ACCUSED OF MURDERING 6          
20110110000027.000|20110110000030.000|CC1|PEOPLE WHILE TRYING TO          
20110110000030.000|20110110000031.000|CC1|ASSASSINATE AN ARIZONA          
20110110000031.000|20110110000033.000|CC1|CONGRESSMAN NOW FACES           
20110110000033.000|20110110000035.000|CC1|CHARGES BUT A MOTIVE IS         
20110110000035.000|20110110000037.000|CC1|UNCLEAR, I AM JOHN HARTUNG.     
20110110000037.000|20110110000038.000|CC1|JOVANA: I AM JOVANA LARA,       
20110110000038.000|20110110000039.000|CC1|THIS IS "EYEWITNESS NEWS" AT    
20110110000039.000|20110110000042.000|CC1|4:00, APRIL PROSECUTOR          
20110110000042.000|20110110000044.000|CC1|CHARGED SUSPECT, HE IS          
20110110000044.000|20110110000046.000|CC1|ACCUSED OF KILLING 6 PEOPLE     
20110110000046.000|20110110000049.000|CC1|WHILE TRYING TO ASSASSINATE     
20110110000049.000|20110110000051.000|CC1|U.S. REPRESENTATIVE             
20110110000051.000|20110110000052.000|CC1|GIFFORD.                        
20110110000052.000|20110110000056.000|CC1|DOCTORS REMAIN CURB USE --      
20110110000056.000|20110110000057.000|CC1|CAUTIOUSLY OPTIMISTIC ABOUT     
20110110000057.000|20110110000101.000|CC1|HER RECOVERY.                   
20110110000101.000|20110110000102.000|CC1|ELSE EX MICHAEL SON IS LIVE     
20110110000102.000|20110110000110.000|CC1|IN TUSCON.                      
20110110000110.000|20110110000113.000|CC1|>> Reporter: TUCSON IS STILL    
20110110000113.000|20110110000115.000|CC1|TRYING TO COME TO TERMS WITH    
20110110000115.000|20110110000116.000|CC1|ITS GRIEF.                      
20110110000116.000|20110110000121.000|CC1|>> SUCH A KIND WOMAN.           
20110110000121.000|20110110000122.000|CC1|>> Reporter: DOCTORS SAY        
20110110000122.000|20110110000124.000|CC1|THAT CONGRESSMAN GABRIELLE      
20110110000124.000|20110110000126.000|CC1|GIFFORD OF SHOT IN THE LEFT     
20110110000126.000|20110110000128.000|CC1|SIDE OF HER HEAD BUT THE        
20110110000128.000|20110110000130.000|CC1|BULLET MISSED LEFT CENTER OF    
20110110000130.000|20110110000131.000|CC1|HER BRAIN.                      
20110110000131.000|20110110000134.000|CC1|>> BECAUSE OF THAT,.            
20110110000134.000|20110110000135.000|CC1|>>                              
20110110000135.000|20110110000136.000|CC1|>> Reporter: IS THE LEAST 20    
20110110000136.000|20110110000137.000|CC1|PEOPLE WERE SHOT HERE           
20110110000137.000|20110110000138.000|CC1|YESTERDAY, 6 OF THEM DIED,      
20110110000138.000|20110110000141.000|CC1|AMONG THEM U.S. DISTRICT        
20110110000141.000|20110110000143.000|CC1|JUDGE JOHN ROLL, AND            
20110110000143.000|20110110000145.000|CC1|9-YEAR-OLD CHRISTINA TAYLOR     
20110110000145.000|20110110000146.000|CC1|GREEN.                          
20110110000146.000|20110110000148.000|CC1|>> SHE COMES INTO THE WORLD,    
20110110000148.000|20110110000153.000|CC1|ON 9/11, AND THEN 9 YEARS       
20110110000153.000|20110110000155.000|CC1|OLD SHE LEAVES IT ON THIS       
20110110000155.000|20110110000156.000|CC1|TERRIBLE DAY.                   
20110110000156.000|20110110000158.000|CC1|>> LITTLE KIDS WILL ASK, WHY    
20110110000158.000|20110110000201.000|CC1|DID MACHINE SHOOT A LITTLE      
20110110000201.000|20110110000203.000|CC1|GIRL, I THINK THAT GUY KNEW     
20110110000203.000|20110110000206.000|CC1|HE WAS SHOOTING THAT LITTLE     
20110110000206.000|20110110000206.000|CC1|GIRL.                           
20110110000206.000|20110110000209.000|CC1|>> Reporter: THE SUSPECT,       
20110110000209.000|20110110000214.000|CC1|22-YEAR-OLD JARED               
20110110000214.000|20110110000217.000|CC1|LOUGHNER FACES CHARGES, HE      
20110110000217.000|20110110000219.000|CC1|WAS SUSPENDED AS A STUDENT      
20110110000219.000|20110110000222.000|CC1|HERE AT PIMA COMMUNITY          
20110110000222.000|20110110000224.000|CC1|COLLEGE, AND HIS PARENTS HAD    
20110110000224.000|20110110000227.000|CC1|A NOTE SAYING ONLY WAY HE       
20110110000227.000|20110110000229.000|CC1|BECOME BACK IS IF HE GOT        
20110110000229.000|20110110000231.000|CC1|CLEARANCE FROM A                
20110110000231.000|20110110000233.000|CC1|PROFESSIONAL HE WAS NOT A       
20110110000233.000|20110110000235.000|CC1|THREAT TO HIMSELF OR THE        
20110110000235.000|20110110000236.000|CC1|CAMPUS.                         
20110110000236.000|20110110000239.000|CC1|MANY POPE KIDS MAY NEVER        
20110110000239.000|20110110000241.000|CC1|HAVE TO SEE THIS KIND OF DAY    
20110110000241.000|20110110000241.000|CC1|AGAIN.                          
20110110000241.000|20110110000242.000|CC1|>> IS IT THE END OF             
20110110000242.000|20110110000244.000|CC1|SOMETHING OR IS IT THE          
20110110000244.000|20110110000244.000|CC1|BEGINNING OF SOMETHING.         
20110110000244.000|20110110000245.000|CC1|JOHN: I'M GOING TO HOPE IT      
20110110000245.000|20110110000247.000|CC1|IS THE END OF VIOLENCE IN       
20110110000247.000|20110110000251.000|CC1|OUR PUBLIC DISCOURSE.           
20110110000251.000|20110110000252.000|CC1|>> Reporter: AS WE COME OUT     
20110110000252.000|20110110000254.000|CC1|LIVE TO TUCSON, THERE IS A      
20110110000254.000|20110110000256.000|CC1|VIGIL ONLY EXPANDING,           
20110110000256.000|20110110000257.000|CC1|PEOPLE, THEY WANT TO COME       
20110110000257.000|20110110000259.000|CC1|TOGETHER AND FIND SOME SENSE    
20110110000259.000|20110110000300.000|CC1|OF COMMUNITY, THE FATHER YOU    
20110110000300.000|20110110000302.000|CC1|HEARD FROM THE TAPE OF THE      
20110110000302.000|20110110000304.000|CC1|9-YEAR-OLD GIRL WHOSE           
20110110000304.000|20110110000307.000|CC1|DAUGHTER WAS BORN ON            
20110110000307.000|20110110000308.000|CC1|SEPTEMBER 11 HE IS A SCOUT      
20110110000308.000|20110110000309.000|CC1|FOR THE L.A. DODGERS, THERE     
20110110000309.000|20110110000312.000|CC1|WAS A PERSON OF INTEREST        
20110110000312.000|20110110000313.000|CC1|THAT AUTHORITIES WERE           
20110110000313.000|20110110000315.000|CC1|SEARCHING FOR, HE WAS A CAB     
20110110000315.000|20110110000318.000|CC1|DRIVER WHO MAPPED TO DROP --    
20110110000318.000|20110110000319.000|CC1|HAPPENED TO DROP OFF THE        
20110110000319.000|20110110000321.000|CC1|SUSPECT AT THE SCENE, HE HAS    
20110110000321.000|20110110000323.000|CC1|BEEN INTERVIEWED AND CLEARED    
20110110000323.000|20110110000324.000|CC1|OF ANY WRONG DOING.             
20110110000324.000|20110110000327.000|CC1|REPORTING LIVE IN TUCSON,       
20110110000327.000|20110110000332.000|CC1|ALEX MICHAEL SON, "ABC7         
20110110000332.000|20110110000332.000|CC1|EYEWITNESS NEWS."               
20110110000332.000|20110110000334.000|CC1|>> YOU HAVE BEEN ON THE         
20110110000334.000|20110110000336.000|CC1|SCENE FOR 24 HOURS, WHAT IS     
20110110000336.000|20110110000337.000|CC1|THE MOOD LIKE NOW THERE,        
20110110000337.000|20110110000339.000|CC1|THERE SEEMS TO BE A             
20110110000339.000|20110110000340.000|CC1|TREMENDOUS SENSE OF             
20110110000340.000|20110110000341.000|CC1|COMMUNITY.                      
20110110000341.000|20110110000344.000|CC1|>> Reporter: A SOMBER MOOD,     
20110110000344.000|20110110000346.000|CC1|FOR LAW ENFORCEMENT             
20110110000346.000|20110110000348.000|CC1|OFFICIALS MANY NEW              
20110110000348.000|20110110000349.000|CC1|CONGRESSMAN GIVE ORD AND        
20110110000349.000|20110110000352.000|CC1|JUDGE ROLE, WHO WAS KILLED.     
20110110000352.000|20110110000353.000|CC1|MANY OTHER PEOPLE HERE, DID     
20110110000353.000|20110110000356.000|CC1|NOT KNOW EITHER OF THEM, BUT    
20110110000356.000|20110110000358.000|CC1|THEY FEEL'S PERSONAL            
20110110000358.000|20110110000400.000|CC1|CONNECTION TO HER, AND CAN'T    
20110110000400.000|20110110000401.000|CC1|BELIEVE SOMETHING LIKE THIS     
20110110000401.000|20110110000402.000|CC1|WOULD HAPPEN HERE, THEY ARE     
20110110000402.000|20110110000404.000|CC1|VERY UPSET, MANY PEOPLE COME    
20110110000404.000|20110110000405.000|CC1|HERE IN TEARS, AND JUST WANT    
20110110000405.000|20110110000407.000|CC1|TO HUG EACH OTHER AND BE        
20110110000407.000|20110110000410.000|CC1|TOGETHER TODAY.                 
20110110000410.000|20110110000413.000|CC1|JOHN: ELEX MICHAELSON THANK     
20110110000413.000|20110110000414.000|CC1|YOU SO MUCH.                    
20110110000414.000|20110110000417.000|CC1|WE HEAR THE FRANTIC MOMENT      
20110110000417.000|20110110000419.000|CC1|AFTER YESTERDAY'S SHOOTING,     
20110110000419.000|20110110000420.000|CC1|91 WITHIN TAPE JUST             
20110110000420.000|20110110000421.000|CC1|RELEASED.                       
20110110000421.000|20110110000422.000|CC1|CALLERS IDENTIFY THE GUNMAN     
20110110000422.000|20110110000424.000|CC1|WHILE TRYING TO GET HELP FOR    
20110110000424.000|20110110000425.000|CC1|CONGRESSMAN GIFFORD WHO LAID    
20110110000425.000|20110110000427.000|CC1|THERE WITH A GUNSHOT WOUND      
20110110000427.000|20110110000434.000|CC1|TO THE HEAD.                    
20110110000434.000|20110110000436.000|CC1|>> A GUNMAN CAME TO THE         
20110110000436.000|20110110000437.000|CC1|SAFEWAY AND STARTED             
20110110000437.000|20110110000438.000|CC1|SHOOTING.                       
20110110000438.000|20110110000441.000|CC1|>> HE WENT IN STARTED FIRING    
20110110000441.000|20110110000441.000|CC1|AND RAN.                        
20110110000441.000|20110110000444.000|CC1|>> HE WAS IN A BEANIE, A        
20110110000444.000|20110110000446.000|CC1|HOODED SWEATSHIRT AND           
20110110000446.000|20110110000447.000|CC1|JEANS.                          
20110110000447.000|20110110000449.000|CC1|>> GABI GIFFORD OF THE HIT.     
20110110000449.000|20110110000452.000|CC1|>> GABRIELLE GIFFORD OF THE     
20110110000452.000|20110110000452.000|CC1|HIT.                            
20110110000452.000|20110110000454.000|CC1|>> SHE WAS HIT.                 
20110110000454.000|20110110000457.000|CC1|>> SHE IS BREATHING.            
20110110000457.000|20110110000500.000|CC1|SHE HAS A PULSE.                
20110110000500.000|20110110000502.000|CC1|WE GOT ONE DEAD.                
20110110000502.000|20110110000503.000|CC1|>> HOW MANY PEOPLE ARE IN       
20110110000503.000|20110110000504.000|CC1|THE AREA.                       
20110110000504.000|20110110000505.000|CC1|>> WE HAVE ABOUT A TOTAL OF     
20110110000505.000|20110110000507.000|CC1|10 PEOPLE MAYBE MORE.           
20110110000507.000|20110110000508.000|CC1|>> MORE, MY GOD.                
20110110000508.000|20110110000511.000|CC1|>> WE HAVE HELP ON THE WAY.     
20110110000511.000|20110110000512.000|CC1|JOVANA: WOW.                    
20110110000512.000|20110110000514.000|CC1|ONE OF GABRIEL GIFFORD'S        
20110110000514.000|20110110000517.000|CC1|INTERNS IS CREDITED FOR HIS     
20110110000517.000|20110110000518.000|CC1|QUICK ACTIONS DANIEL            
20110110000518.000|20110110000519.000|CC1|HERNANDEZ IS A TRAINED          
20110110000519.000|20110110000521.000|CC1|NURSE, AND WAS THERE WHEN       
20110110000521.000|20110110000522.000|CC1|THE SHOOTING BEGAN HE MOVED     
20110110000522.000|20110110000523.000|CC1|IN TO HELP.                     
20110110000523.000|20110110000525.000|CC1|>> I HEARD THE GUNSHOT, AND     
20110110000525.000|20110110000527.000|CC1|I KNEW THAT HOME HAD BEEN       
20110110000527.000|20110110000529.000|CC1|INJURED MOST LIKELY, I RAN      
20110110000529.000|20110110000531.000|CC1|TOWARD WHERE THE                
20110110000531.000|20110110000532.000|CC1|CONGRESSWOMAN WAS, I TRIED      
20110110000532.000|20110110000533.000|CC1|TO SEE WHO HAD A PULL           
20110110000533.000|20110110000534.000|CC1|STILL.                          
20110110000534.000|20110110000538.000|CC1|SEE IF PEOPLE WERE STILL        
20110110000538.000|20110110000540.000|CC1|BREATHING, I WAS ONLY ABLE      
20110110000540.000|20110110000542.000|CC1|TO CHECK 2 OR THREE PEOPLE      
20110110000542.000|20110110000545.000|CC1|BEFORE I NOTICED THAT           
20110110000545.000|20110110000546.000|CC1|CONGRESSWOMAN GIFFORD WAS       
20110110000546.000|20110110000550.000|CC1|INJURED SEVERELY, SHE BECAME    
20110110000550.000|20110110000551.000|CC1|MY FIRST PRIORITY BECAUSE OF    
20110110000551.000|20110110000554.000|CC1|THE SEVERITY OF HER WOUNDS,     
20110110000554.000|20110110000556.000|CC1|SHE HAD A SHOT TO THE HEAD,     
20110110000556.000|20110110000558.000|CC1|SO, I TRIED TO MAKE SURE        
20110110000558.000|20110110000601.000|CC1|THAT I PICKED HER UP, SO SHE    
20110110000601.000|20110110000605.000|CC1|WAS NOT IN A POSITION WHERE     
20110110000605.000|20110110000610.000|CC1|SHE COULD EX PHYSIATE           
20110110000610.000|20110110000612.000|CC1|IN HER OWN BLOOD.               
20110110000612.000|20110110000613.000|CC1|JOVANA: HERNANDEZ SAID          
20110110000613.000|20110110000617.000|CC1|DURING THE KAY CAS, HE --       
20110110000617.000|20110110000620.000|CC1|CHAOS HE SHUT OFF ALL           
20110110000620.000|20110110000622.000|CC1|EMOTION TO TO HELP THOSE IN     
20110110000622.000|20110110000623.000|CC1|NEED.                           
20110110000623.000|20110110000624.000|CC1|JOHN: A MAN CLOSE TO            
